bloco	parcela	n	p	k	ms_folha	ms_lenho	ms_casca	ms_galho	altura	dap	volume	p_resina	mo_solo	p_h_solo	k_solo	ca_solo	mg_solo	h_al_solo	al_solo	sb	ctc	v	ca_ctc	mg_ctc	m	compartimento	n_2	p_2	k_2	ca	mg	s	b	cu	fe	mn	zn	Dose_N	Dose_P	Dose_K
C	7	1	1	1	4652.61994736842	10847.1621140142	1360.98678932571	3659.94892138365	5.47	0.070028174960434	28.0905412954554	8	15	3.9	0.1	3	2	28	4	5.1	33.1	15	9	6	44	FOLHA	86957.4668163158	4191.58160228352	38267.7990671053	34545.7031092105	10235.7638842105	5282.43715593056	149437.572116428	32568.339631579	883997.79	3973337.43505263	74441.9191578947	140	100	180
C	7	1	1	1	4652.61994736842	10847.1621140142	1360.98678932571	3659.94892138365	5.47	0.070028174960434	28.0905412954554	8	15	3.9	0.1	3	2	28	4	5.1	33.1	15	9	6	44	LENHO	34168.5606591449	0	21151.9661223278	9220.08779691211	1627.07431710214	2696.98015536117	70675.3975917983	43388.648456057	1540297.02019002	1128104.85985748	195248.918052256	140	100	180
C	7	1	1	1	4652.61994736842	10847.1621140142	1360.98678932571	3659.94892138365	5.47	0.070028174960434	28.0905412954554	8	15	3.9	0.1	3	2	28	4	5.1	33.1	15	9	6	44	GALHO	19727.1246862579	3966.8243162652	21868.1948052673	21502.1999131289	2744.96169103774	2053.90411175122	43103.6746205055	32939.5402924528	135418.110091195	1559138.24050943	65879.0805849056	140	100	180
C	7	1	1	1	4652.61994736842	10847.1621140142	1360.98678932571	3659.94892138365	5.47	0.070028174960434	28.0905412954554	8	15	3.9	0.1	3	2	28	4	5.1	33.1	15	9	6	44	CASCA	6859.37341820156	1996.67798063215	11500.3383698022	24974.1075841267	3810.76301011198	681.135337973457	33276.2875224034	16331.8414719085	42190.5904690969	1392289.4854802	17692.8282612342	140	100	180
C	7	1	0	1	2908.68067154255	9145.45578918059	1018.82535003978	1422.30413653846	6.55	0.070028174960434	33.6367542020535	4	14	3.9	1.3	1	1	34	6	3.3	37.3	9	3	3	65	FOLHA	52937.9882220745	2937.79853230197	22178.690120512	17015.7819285239	6108.22941023936	3372.31118873321	105265.107008241	20360.7647007979	538105.924235372	2498556.69685505	40721.5294015957	140	100	180
C	7	1	0	1	2908.68067154255	9145.45578918059	1018.82535003978	1422.30413653846	6.55	0.070028174960434	33.6367542020535	4	14	3.9	1.3	1	1	34	6	3.3	37.3	9	3	3	65	LENHO	18565.2752520366	553.662739956009	26293.1853938942	5944.54626296738	685.909184188544	1596.51424179853	59587.8182020967	27436.3673675418	1152327.42943675	804800.109447892	137181.836837709	140	100	180
C	7	1	0	1	2908.68067154255	9145.45578918059	1018.82535003978	1422.30413653846	6.55	0.070028174960434	33.6367542020535	4	14	3.9	1.3	1	1	34	6	3.3	37.3	9	3	3	65	GALHO	8661.83219151923	2314.64455234812	14009.6957449038	6933.732665625	1564.53455019231	598.91254592672	25473.0048565697	11378.4330923077	56892.1654615385	797912.620598077	18489.953775	140	100	180
C	7	1	0	1	2908.68067154255	9145.45578918059	1018.82535003978	1422.30413653846	6.55	0.070028174960434	33.6367542020535	4	14	3.9	1.3	1	1	34	6	3.3	37.3	9	3	3	65	CASCA	5063.56198969769	808.666868600741	9831.66462788385	13015.4938467582	3234.77048637629	449.066268124206	24910.3999751782	3056.47605011933	41771.8393516309	1035126.55564041	11207.0788504375	140	100	180
C	8	1	1	1	1275.84222101449	6749.52608775137	741.497232175504	2138.79246721311	5.3	0.0566591597407147	17.8173575065632	1	13	3.7	0.1	3	1	28	6	4.1	32.1	13	9	3	59	FOLHA	21523.4582685145	1478.17692274869	9632.60876865942	9122.27188025362	3987.00694067029	1699.73084449961	42686.3280349058	7655.05332608696	213065.65090942	1157188.89446014	17861.7910942029	140	70	0
C	8	1	1	1	1275.84222101449	6749.52608775137	741.497232175504	2138.79246721311	5.3	0.0566591597407147	17.8173575065632	1	13	3.7	0.1	3	1	28	6	4.1	32.1	13	9	3	59	LENHO	11811.6706535649	408.613981992013	21935.959785192	8943.12206627057	4218.45380484461	1552.21950372537	65056.0641732437	26998.1043510055	465717.300054845	857189.813144424	134990.521755027	140	70	0
C	8	1	1	1	1275.84222101449	6749.52608775137	741.497232175504	2138.79246721311	5.3	0.0566591597407147	17.8173575065632	1	13	3.7	0.1	3	1	28	6	4.1	32.1	13	9	3	59	GALHO	12276.6687618033	2318.1235991617	16842.9906793033	14490.3189653689	1764.50378545082	1027.60466602488	25188.8254639056	32081.8870081967	94106.868557377	1503571.10445082	25665.5096065574	140	70	0
C	8	1	1	1	1275.84222101449	6749.52608775137	741.497232175504	2138.79246721311	5.3	0.0566591597407147	17.8173575065632	1	13	3.7	0.1	3	1	28	6	4.1	32.1	13	9	3	59	CASCA	3685.24124391225	1146.8801122697	6506.63821234004	14292.3591501828	2057.65481928702	326.828729638972	16328.6309949051	5931.97785740403	20761.9225009141	917232.076201098	7414.97232175504	140	70	0
C	8	1	0	1	1308.663395	6255.3035106383	625.530351063829	1466.1617481203	6.1	0.0566591597407147	20.5067699603841	25	15	3.9	0.6	2	2	25	5	4.6	29.6	16	7	7	52	FOLHA	28031.5699209	2024.12086822949	12465.018837375	8408.162312875	4056.8565245	1612.87086968041	43784.4382684126	9160.643765	218546.786965	1109746.55896	20938.61432	140	70	0
C	8	1	0	1	1308.663395	6255.3035106383	625.530351063829	1466.1617481203	6.1	0.0566591597407147	20.5067699603841	25	15	3.9	0.6	2	2	25	5	4.6	29.6	16	7	7	52	LENHO	13136.1373723404	972.528989712168	28930.7787367021	5004.24280851064	3909.56469414894	1322.43988218699	50447.1172767781	18765.9105319149	362807.603617021	731870.510744681	181403.801808511	140	70	0
